SITUACION LABORAL,RANGO,SEXO,EDAD,DEPARTAMENTO,PROVINCIA,DISTRITO,PROFESION,MARCA,MODELO,PLAZA,COLOR,CARROCERIA,ASIENTOS,USO,COT
DEPENDIENTE,B,MASCULINO,30,LIMA,LIMA,LIMA,BACHILLER EN DERECHO,MAZDA,CX-3,LIMA,NEGRO,SUV,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,BARRANCO,BACHILLER EN DERECHO,GREAT WALL,VOLEEX C30,LIMA,ROJO,SEDAN,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,SAN LUIS,BACHILLER EN DERECHO,NISSAN,KICKS,LIMA,BLANCO PERLA,SUV,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,SANTA ANITA,BACHILLER EN DERECHO,TOYOTA,YARIS XLi 1.3 A/T,LIMA,GRIS OSCURO METALICO,SEDAN,5,PARTICULAR,1
DEPENDIENTE,B,MASCULINO,20,LIMA,LIMA,LA MOLINA,BACHILLER EN DERECHO,TOYOTA,COROLLA LEVIN,LIMA,GRIS OSCURO METALICO,SEDAN,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,25,LAMBAYEQUE,CHICLAYO,CHICLAYO,BACHILLER EN DERECHO,TOYOTA,YARIS,CHICLAYO,AZUL METALICO,SEDAN,5,PARTICULAR,1
DEPENDIENTE,B,MASCULINO,31,LIMA,LIMA,SAN MIGUEL,BACHILLER EN DERECHO DERECHO,AUDI,A3,LIMA,AZUL COSMOS,HATCHBACK,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,LOS OLIVOS,BACHILLER EN DERECHO Y CIENCIA POLITICA,CHEVROLET,CAPTIVA,LIMA,ROJO METALICO,SUV,7,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,SAN JUAN DE MIRAFLORES,BACHILLER EN DERECHO Y CIENCIA POLITICA,HYUNDAI,ACCENT,LIMA,NEGRO,SEDAN,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,32,LIMA,LIMA,MAGDALENA DEL MAR,BACHILLER EN DERECHO Y CIENCIA POLITICA,KIA,SPORTAGE,LIMA,GRIS METALICO,SUV,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,SAN LUIS,BACHILLER EN DERECHO Y CIENCIA POLITICA DERECHO Y ,HONDA,HR-V,LIMA,NEGRO CRYSTAL,SUV,5,PARTICULAR,1
DEPENDIENTE,B,MASCULINO,30,CALLAO,PROV. CONST. DEL CALLAO,LA PERLA,BACHILLER EN DERECHO Y CIENCIAS POLITICAS,CHEVROLET,ONIX,LIMA,PLATA SABLE,SEDAN,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,36,LA LIBERTAD,TRUJILLO,TRUJILLO,BACHILLER EN DERECHO Y CIENCIAS POLITICAS,VOLKSWAGEN,CROSSFOX,TRUJILLO,GRIS PLATINO,SUV,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,30,LIMA,LIMA,LIMA,BACHILLER EN DERECHO Y CIENCIAS POLITICAS,VOLKSWAGEN,TIGUAN,LIMA,GRIS PLATINO,SUV,7,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,RIMAC,BACHILLER EN DERECHO Y CIENCIAS POLITICAS,SUZUKI,CELERIO,LIMA,BLANCO PERLA,HATCHBACK,5,PARTICULAR,1
DEPENDIENTE,B,FEMENINO,20,LIMA,LIMA,MIRAFLORES,BACHILLER EN DERECHO Y CIENCIAS POLITICAS,HYUNDAI,NEW ELANTRA,AREQUIPA,AZUL OSCURO,SEDAN,5,PARTICULAR,1
